"","title","wins","gg_bpw"
"168","Babe (1995)",1,1
"169","Babel (2006)",1,1
"170","Baby Boom (1987)",0,0
"171","Baby Doll (1956)",1,0
"172","Baby Driver (2017)",0,0
"173","Bachelor In Paradise (1961)",0,0
"174","Back To The Future (1985)",0,0
"175","Bad Santa (2003)",0,0
"176","Bandits (2001)",0,0
"177","Barfly (1987)",0,0
"178","Barney's Version (2010)",1,0
"179","Barry Lyndon (1975)",0,0
"180","Barton Fink (1991)",0,0
"181","Basic Instinct (1992)",0,0
"182","Batman (1989)",0,0
"183","Batman Forever (1995)",0,0
"184","Battle Of The Bulge (1965)",0,0
"185","Battle of the Sexes (2017)",0,0
"186","Battleground (1949)",2,0
"187","Beasts of No Nation (2015)",0,0
"188","Beautiful Boy (2018)",0,0
"189","Beauty and the Beast (1991)",3,1
"190","Becket (1964)",2,1
"191","Beethoven's 2nd (1993)",0,0
"192","Before Midnight (2013)",0,0
"193","Before Night Falls (2000)",0,0
"194","Beginners (2011)",1,0
"195","Being John Malkovich (1999)",0,0
"196","Being Julia (2004)",1,0
"197","Being There (1979)",2,0
"198","Ben (1972)",1,0
"199","Ben-Hur (1959)",3,1
"200","Bend It Like Beckham (2003)",0,0
"201","Benji (1974)",1,0
"202","Benny & Joon (1993)",0,0
"203","Bernie (2012)",0,0
"204","Berry Gordy's The Last Dragon (1985)",0,0
"205","Best Friends (1982)",0,0
"206","Best in Show (2000)",0,0
"207","Beverly Hills Cop (1984)",0,0
"208","Beverly Hills Cop II (1987)",0,0
"209","Beyond the Sea (2004)",0,0
"210","Big (1988)",1,0
"211","Big Eyes (2014)",1,0
"212","Big Fish (2003)",0,0
"213","Billy Bathgate (1991)",0,0
"214","Billy Elliot (2000)",0,0
"215","Billy Rose's Jumbo (1962)",0,0
"216","Bird (1988)",1,0
"217","Birdman (2014)",2,0
"218","Birdman of Alcatraz (1962)",0,0
"219","Birth (2004)",0,0
"220","BlacKkKlansman (2018)",0,0
"221","Black Panther (2018)",0,0
"222","Black Swan (2010)",1,0
"223","Blade Runner (1982)",0,0
"224","Blood Diamond (2006)",0,0
"225","Blue Jasmine (2013)",1,0
"226","Blue Sky (1994)",1,0
"227","Blue Valentine (2010)",0,0
"228","Blue Velvet (1986)",0,0
"229","Bob Roberts (1992)",0,0
"230","Bobby (2006)",0,0
"231","Bobby Deerfield (1977)",0,0
"232","Body Double (1984)",0,0
"233","Boeing Boeing (1965)",0,0
"234","Bohemian Rhapsody (2018)",2,1
"235","Bolt (2008)",0,0
"236","Bombshell (2019)",0,0
"237","Bonnie and Clyde (1967)",0,0
"238","Boogie Nights (1997)",1,0
"239","Booksmart (2019)",0,0
"240","Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan (2006)",1,0
"241","Born Free (1966)",0,0
"242","Born Yesterday (1950)",0,0
"243","Born on the Fourth of July (1989)",4,1
"244","Bound for Glory (1976)",0,0
"245","Boy Erased (2018)",0,0
"246","Boyhood (2014)",3,1
"247","Boys Don't Cry (1999)",1,0
"248","Braveheart (1995)",1,0
"249","Breakfast On Pluto (2005)",0,0
"250","Breaking Away (1979)",1,1
"251","Breaking the Waves (1996)",0,0
"252","Breezy (1973)",0,0
"253","Bridesmaids (2011)",0,0
"254","Bridge of Spies (2015)",0,0
"255","Bridget Jones's Diary (2001)",0,0
"256","Bridget Jones: The Edge Of Reason (2004)",0,0
"257","Bright Victory (1951)",1,0
"258","Broadcast News (1987)",0,0
"259","Broadway Danny Rose (1984)",0,0
"260","Brokeback Mountain (2005)",4,1
"261","Brooklyn (2015)",0,0
"262","Brothers (2009)",0,0
"263","Bugsy (1991)",1,1
"264","Bugsy Malone (1976)",0,0
"265","Bull Durham (1988)",0,0
"266","Bullets Over Broadway (1994)",1,0
"267","Bulworth (1998)",0,0
"268","Buona Sera, Mrs. Campbell (1968)",0,0
"269","Burlesque (2010)",1,0
"270","Burn After Reading (2008)",0,0
"271","Bus Stop (1956)",0,0
"272","Buster (1988)",1,0
"273","But Not For Me (1959)",0,0
"274","Butch Cassidy and The Sundance Kid (1969)",1,0
"275","Butterfield 8 (1960)",0,0
"276","Butterflies Are Free (1972)",0,0
"277","Butterfly (1981)",0,0
"278","Bye Bye Birdie (1963)",0,0
"279","Cabaret (1972)",3,1
"280","Cactus Flower (1969)",1,0
"281","Cadillac Records (2008)",0,0
"282","Cake (2014)",0,0
"283","Calendar Girls (2003)",0,0
"284","California Suite (1978)",1,0
"285","Call Me By Your Name (2017)",0,0
"286","Camelot (1967)",3,0
"287","Can You Ever Forgive Me? (2018)",0,0
"288","Cape Fear (1991)",0,0
"289","Capote (2005)",1,0
"290","Captain Fantastic (2016)",0,0
"291","Captain Newman, M.D. (1963)",0,0
"292","Captain Phillips (2013)",0,0
"293","Car Wash (1976)",0,0
"294","Career (1959)",1,0
"295","Carlito's Way (1993)",0,0
"296","Carmen Jones (1954)",1,1
"297","Carnage (2011)",0,0
"298","Carnal Knowledge (1971)",1,0
"299","Carol (2015)",0,0
"300","Carrie (1976)",0,0
"301","Casino (1995)",1,0
"302","Casino Jack (2010)",0,0
"303","Cast Away (2000)",1,0
"304","Casualties of War (1989)",0,0
"305","Cat Ballou (1965)",1,0
"306","Cat People (1982)",0,0
"307","Cat on a Hot Tin Roof (1958)",0,0
"308","Catch Me If You Can (2002)",0,0
"309","Cats (2019)",0,0
"310","Central Station (1998)",0,0
"311","Chances Are (1989)",0,0
"312","Changeling (2008)",0,0
"313","Chaplin (1992)",0,0
"314","Chapter Two (1979)",0,0
"315","Charade (1963)",0,0
"316","Charley and The Angel (1973)",0,0
"317","Charlie Wilson's War (2007)",0,0
"318","Charlie and the Chocolate Factory (2005)",0,0
"319","Charly (1968)",1,0
"320","Chasing Amy (1997)",0,0
"321","Cheyenne Autumn (1964)",0,0
"322","Chicago (2002)",3,1
"323","Chicken Run (2000)",0,0
"324","Children of a Lesser God (1986)",1,0
"325","Chinatown (1974)",4,1
"326","Chitty Chitty Bang Bang (1968)",0,0
"327","Chocolat (2000)",0,0
"328","Christmas In Love (2005)",0,0
"329","Cinderella Liberty (1973)",1,0
"330","Cinderella Man (2005)",0,0
"331","Circus World (1964)",1,0
"332","City Slickers (1991)",1,0
"333","City of Angels (1998)",0,0
"334","Clara's Heart (1988)",0,0
"335","Claudine (1974)",0,0
"336","Cleopatra (1963)",0,0
"337","Close Encounters of the Third Kind (1977)",0,0
"338","Closer (2004)",2,0
"339","Cloud Atlas (2012)",0,0
"340","Coal Miner's Daughter (1980)",2,1
"341","Cocktail (1988)",0,0
"342","Coco (2017)",0,0
"343","Cocoon (1985)",0,0
"344","Cold Mountain (2003)",1,0
"345","Collateral (2004)",0,0
"346","Color of Night (1994)",0,0
"347","Come Back To The Five and Dime, Jimmy Dean, Jimmy Dean (1982)",0,0
"348","Come Back, Little Sheba (1952)",1,0
"349","Come Blow Your Horn (1963)",0,0
"350","Come To The Stable (1949)",0,0
"351","Coming Home (1978)",2,0
"352","Concussion (2015)",0,0
"353","Contact (1997)",0,0
"354","Continental Divide (1981)",0,0
"355","Cool Hand Luke (1967)",0,0
"356","Country (1984)",0,0
"357","Country Strong (2010)",0,0
"358","Crash (2005)",0,0
"359","Crazy Heart (2009)",2,0
"360","Crazy Rich Asians (2018)",0,0
"361","Crazy, Stupid, Love. (2011)",0,0
"362","Creed (2015)",1,0
"363","Crimes and Misdemeanors (1989)",0,0
"364","Crimes of the Heart (1986)",1,0
"365","Crocodile Dundee (1986)",1,0
"366","Cromwell (1970)",0,0
"367","Crossing Delancey (1988)",0,0
"368","Crouching Tiger, Hidden Dragon (2000)",1,0
"369","Cry Freedom (1987)",0,0
"370","Cyrano de Bergerac (1950)",1,0
"371","Dad (1989)",0,0
"372","Dallas Buyers Club (2013)",2,0
"373","Damage (1992)",0,0
"374","Dancer In The Dark (2000)",0,0
"375","Dances with Wolves (1990)",3,1
"376","Danny Collins (2015)",0,0
"377","Darkest Hour (2017)",1,0
"378","Darling (1965)",0,0
"379","Darling Lili (1970)",1,0
"380","Dave (1993)",0,0
"381","Day for Night (1973)",0,0
