"","film","year_film","nom_bp","nom_dir","nom_aml","nom_afl","nom_cin","nom_prod","nom_wa","nom_wo","nom_fm","nom_mo","nom_ms","nom_ams","nom_afs","nom_vis","nom_cos","nom_mak","nom_sm","won_bp"
"58","As Good as It Gets (1997)",1997,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"59","Atlantic City (1981)",1981,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60","Atonement (2007)",2007,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0
"61","Auntie Mame (1958)",1958,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"62","Avatar (2009)",2009,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
"63","Avatar: The Way of Water (2022)",2022,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"64","Awakenings (1990)",1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Babe (1995)",1995,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
"66","Babel (2006)",2006,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
"67","Bad Girl (1931)",1931,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"68","Barry Lyndon (1975)",1975,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"69","Battleground (1949)",1949,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"70","Beasts of the Southern Wild (2012)",2012,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"71","Beauty and the Beast (1991)",1991,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"72","Becket (1964)",1964,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0
"73","Belfast (2021)",2021,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0
"74","Ben-Hur (1959)",1959,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1
"75","Birdman or (The Unexpected Virtue of Ignorance) (2014)",2014,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1
"76","BlacKkKlansman (2018)",2018,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
"77","Black Panther (2018)",2018,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
