year_film,year_award,ceremony,category,win,title
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,TRUE,Three Little Words
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,When Willie Comes Marching Home
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,The Sin Of Harold Diddlebock
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,Harvey
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,Adam's Rib
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,All About Eve
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,Mister 880
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,FALSE,Sunset Boulevard
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,FALSE,All About Eve
1950,1951,8,Best Director - Motion Picture,TRUE,Sunset Boulevard
1950,1951,8,Best Director - Motion Picture,FALSE,Born Yesterday
1950,1951,8,Best Director - Motion Picture,FALSE,The Asphalt Jungle
1950,1951,8,Best Director - Motion Picture,FALSE,All About Eve
1950,1951,8,Best Screenplay - Motion Picture,TRUE,All About Eve
1950,1951,8,Best Screenplay - Motion Picture,FALSE,Sunset Boulevard
1950,1951,8,Best Screenplay - Motion Picture,FALSE,The Asphalt Jungle
1950,1951,8,Best Original Score - Motion Picture,TRUE,Sunset Boulevard
1950,1951,8,Best Original Score - Motion Picture,FALSE,Destination Moon
1950,1951,8,Best Original Score - Motion Picture,FALSE,A Life Of Her Own
1950,1951,8,Promoting International Understanding,TRUE,Broken Arrow
1950,1951,8,Promoting International Understanding,FALSE,The Big Lift
1950,1951,8,Promoting International Understanding,FALSE,The Next Voice You Hear...
1950,1951,8,New Star Of The Year,TRUE,Tea For Two
1950,1951,8,New Star Of The Year,FALSE,Cyrano de Bergerac 
1950,1951,8,New Star Of The Year,FALSE,Three Little Words
1950,1951,8,Picture,TRUE,Sunset Boulevard
1950,1951,8,Picture,FALSE,Born Yesterday
1950,1951,8,Picture,FALSE,Cyrano de Bergerac 
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,TRUE,Born Yesterday
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,FALSE,Louisa
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,FALSE,Annie Get Your Gun
1950,1951,8,Henrietta Award (World Film Favorites),TRUE,Gregory Peck
1950,1951,8,Henrietta Award (World Film Favorites),TRUE,Jane Wyman
1950,1951,8,Cinematography - Color,TRUE,King Solomon's Mines
1950,1951,8,Cinematography - Color,FALSE,Broken Arrow
1950,1951,8,Cinematography - Color,FALSE,Samson and Delilah
1950,1951,8,Cinematography - Black And White,TRUE,Cyrano de Bergerac 
1950,1951,8,Cinematography - Black And White,FALSE,The Asphalt Jungle
1950,1951,8,Cinematography - Black And White,FALSE,Sunset Boulevard
1951,1952,9,Best Motion Picture - Drama,TRUE,A Place In The Sun
1951,1952,9,Best Motion Picture - Drama,FALSE,Quo Vadis?
1951,1952,9,Best Motion Picture - Drama,FALSE,A Streetcar Named Desire 
1951,1952,9,Best Motion Picture - Drama,FALSE,Bright Victory
1951,1952,9,Best Motion Picture - Drama,FALSE,Detective Story
1951,1952,9,Best Motion Picture - Musical or Comedy,TRUE,An American In Paris
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,TRUE,The Blue Veil
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,FALSE,A Streetcar Named Desire 
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,FALSE,A Place In The Sun
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,TRUE,Death of a Salesman 
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,FALSE,Detective Story
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,FALSE,Bright Victory
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,TRUE,On The Riviera
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,Here Comes The Groom
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,An American In Paris
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,A Streetcar Named Desire 
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,Detective Story
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,The Mating Season
1951,1952,9,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,Quo Vadis?
1951,1952,9,Best Director - Motion Picture,TRUE,Death of a Salesman 
1951,1952,9,Best Director - Motion Picture,FALSE,An American In Paris
1951,1952,9,Best Director - Motion Picture,FALSE,A Place In The Sun
1951,1952,9,Best Screenplay - Motion Picture,TRUE,Bright Victory
1951,1952,9,Best Original Score - Motion Picture,TRUE,September Affair
1951,1952,9,Best Original Score - Motion Picture,FALSE,The Day The Earth Stood Still
1951,1952,9,Best Original Score - Motion Picture,FALSE,The Well
1951,1952,9,Promoting International Understanding,TRUE,The Day The Earth Stood Still
1951,1952,9,Special Achievement Award,FALSE,Pictura 
1951,1952,9,New Star Of The Year - Actress,TRUE,Teresa
1951,1952,9,New Star Of The Year - Actor,TRUE,Death of a Salesman 
1951,1952,9,Actress In A Leading Role - Musical Or Comedy,TRUE,Too Young To Kiss
1951,1952,9,Henrietta Award (World Film Favorite),TRUE,Esther Williams
1951,1952,9,Henrietta Award (World Film Favorite),TRUE,Alan Ladd
1951,1952,9,Cinematography - Color,TRUE,Quo Vadis?
1951,1952,9,Cinematography - Black And White,TRUE,Death of a Salesman 
1951,1952,9,Cinematography - Black And White,FALSE,Decision Before Dawn
